Final score,Clue Count,Sum Clue Count,Turns Taken,Wrong Guesses
20.352941176470587,"[3, 3, 5, 1, 2, 1, 1, 1]",17,8,5
46.758620689655174,"[3, 2, 2, 3, 3, 2, 1, 1, 1, 1, 2, 2, 1, 2, 2, 1]",29,16,14
9.777777777777779,"[3, 3, 1, 1, 1]",9,5,1
17.1875,"[3, 4, 2, 3, 2, 1, 1]",16,7,4
23.379310344827587,"[6, 4, 4, 5, 4, 3, 2, 1]",29,8,7
31.5,"[2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 1]",22,11,9
48.758620689655174,"[3, 4, 2, 2, 2, 2, 2, 2, 3, 1, 1, 1, 1, 1, 1, 1]",29,16,15
16.666666666666664,"[6, 2, 2, 1, 1, 1, 1, 1]",15,8,3
53.5,"[5, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1]",34,17,17
38.27450980392157,"[4, 5, 5, 7, 4, 4, 6, 4, 5, 3, 2, 1, 1]",51,13,12
